지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
143|강수량 (mm)|20200101|||||||||||||||||||||||||
143|강수량 (mm)|20200102|||||||||||||||||||||||||
143|강수량 (mm)|20200103|||||||||||||||||||||||||
143|강수량 (mm)|20200104|||||||||||||||||||||||||
143|강수량 (mm)|20200105|||||||||||||||||||||||||
143|강수량 (mm)|20200106|||||||||0.0|||1.0|||3.0|||0.5|||4.5|||3.0|
143|강수량 (mm)|20200107|||7.5|||3.0|||2.5|||0.5|||0.0|||0.0|||4.0|||9.5|
143|강수량 (mm)|20200108|||0.3||||||||||||||||||||||
143|강수량 (mm)|20200109|||||||||||||||||||||||||
143|강수량 (mm)|20200110|||||||||||||||||||||||||
143|강수량 (mm)|20200111|||||||||||||||||||||||||
143|강수량 (mm)|20200112|||||||||||||||||||||||||
143|강수량 (mm)|20200113|||||||||||||||||||||||||
143|강수량 (mm)|20200114|||||||||||||||||||||||||
143|강수량 (mm)|20200115|||||||||||||||||||||||||
143|강수량 (mm)|20200116|||||||||||||||||||||||||
143|강수량 (mm)|20200117|||||||||||||||||||||||||
143|강수량 (mm)|20200118|||||||||||||||||||||||||
143|강수량 (mm)|20200119|||||||||||||||||||||||||
143|강수량 (mm)|20200120|||||||||||||||||||||||||
143|강수량 (mm)|20200121|||||||||||||||||||||||||
143|강수량 (mm)|20200122|||||||||||||||0.0|||0.0|||1.0|||2.5|
143|강수량 (mm)|20200123|||2.0|||4.0|||1.0|||0.5|||0.0||||||||||
143|강수량 (mm)|20200124|||||||||||||||||||||||||
143|강수량 (mm)|20200125|||||||||||||||||||||||||
143|강수량 (mm)|20200126|||||||||||||||||||||0.0|||0.1|
143|강수량 (mm)|20200127|||0.0|||1.0|||2.5|||1.5|||4.5|||4.5|||4.0|||1.5|
143|강수량 (mm)|20200128|||0.0||||||||||||||||||||||
143|강수량 (mm)|20200129|||||||||||||||||||||0.0|||0.5|
143|강수량 (mm)|20200130|||||||||||||||||||||0.0||||
143|강수량 (mm)|20200131||||||0.0|||0.0||||||||||||||||
143|강수량 (mm)|20200201|||||||||||||||||||||||||
143|강수량 (mm)|20200202|||||||||||||||||||||||||
143|강수량 (mm)|20200203|||||||||||||||||||||||||
143|강수량 (mm)|20200204|||||||||||||||||||||||||
143|강수량 (mm)|20200205|||0.0|||0.0|||||||||||||||||||
143|강수량 (mm)|20200206|||||||||||||||||||||||||
143|강수량 (mm)|20200207|||||||||||||||||||||||||
143|강수량 (mm)|20200208|||||||||||||||||||||||||
143|강수량 (mm)|20200209|||||||||||||||||||||||||
143|강수량 (mm)|20200210|||||||||||||||||||||||||
143|강수량 (mm)|20200211|||||||||||||||||||||||||
143|강수량 (mm)|20200212|||0.0|||0.0|||2.5|||1.5|||1.0|||1.0|||||||
143|강수량 (mm)|20200213|||||||||||||||||||||||||
143|강수량 (mm)|20200214|||||||||||||||||||||||||
143|강수량 (mm)|20200215|||||||||||||||||||||||||
143|강수량 (mm)|20200216|||0.1|||3.9|||0.0|||||||||0.0|||0.0||||
143|강수량 (mm)|20200217||||||||||||0.0|||||||||||||
143|강수량 (mm)|20200218|||||||||||||||||||||||||
143|강수량 (mm)|20200219|||||||||||||||||||||||||
143|강수량 (mm)|20200220|||||||||||||||||||||||||
143|강수량 (mm)|20200221||||||||||||||||||||||||0.0|
143|강수량 (mm)|20200222|||0.0|||0.0|||||||||||||||||||
143|강수량 (mm)|20200223|||||||||||||||||||||||||
143|강수량 (mm)|20200224||||||||||||||||||||||||0.0|
143|강수량 (mm)|20200225|||2.0|||5.0|||6.0|||6.0|||5.5|||3.5|||1.0|||0.0|
143|강수량 (mm)|20200226||||||0.0||||||||||||||||||0.2|
143|강수량 (mm)|20200227||||||0.0|||||||||||||||||||
143|강수량 (mm)|20200228|||||||||||||||1.0|||0.0|||||||
143|강수량 (mm)|20200229|||||||||||||||||||||||||
143|강수량 (mm)|20200301|||||||||||||||||||||||||
143|강수량 (mm)|20200302|||||||||||||||||||||||||
143|강수량 (mm)|20200303|||||||||||||||||||||||||
143|강수량 (mm)|20200304|||||||||||||||||||||||||
143|강수량 (mm)|20200305|||||||||||||||||||||||||
143|강수량 (mm)|20200306|||||||||||||||||||||||||
143|강수량 (mm)|20200307||||||||||||0.5|||||||||1.5||||
143|강수량 (mm)|20200308|||||||||||||||||||||||||
143|강수량 (mm)|20200309|||||||||||||||||||||0.1|||2.9|
143|강수량 (mm)|20200310|||2.5|||2.5|||0.0|||2.5|||2.5|||0.0|||||||
143|강수량 (mm)|20200311|||||||||||||||||||||||||
143|강수량 (mm)|20200312|||||||||||||||||||||||||
143|강수량 (mm)|20200313|||||||||||||||||||||||||
143|강수량 (mm)|20200314|||||||||||||||||||||||||
143|강수량 (mm)|20200315|||||||||||||||||||||||||
143|강수량 (mm)|20200316|||||||||||||||||||||||||
143|강수량 (mm)|20200317|||||||||||||||||||||||||
143|강수량 (mm)|20200318|||||||||||||||||||||||||
143|강수량 (mm)|20200319|||||||||||||||||||||||||
143|강수량 (mm)|20200320|||||||||||||||||||||||||
143|강수량 (mm)|20200321|||||||||||||||||||||||||
143|강수량 (mm)|20200322|||||||||||||||||||||||||
143|강수량 (mm)|20200323|||||||||||||||||||||||||
143|강수량 (mm)|20200324|||||||||||||||||||||||||
143|강수량 (mm)|20200325|||||||||||||||||||||||||
143|강수량 (mm)|20200326|||||||||0.0|||0.0|||0.0|||0.0|||0.5|||3.0|
143|강수량 (mm)|20200327|||4.0|||2.0|||||||||||||||||||
143|강수량 (mm)|20200328|||||||||||||||||||||||||
143|강수량 (mm)|20200329|||||||||||||||||||||||||
143|강수량 (mm)|20200330|||||||||||||||||||||||||
143|강수량 (mm)|20200331|||||||||||||||||||||||||
143|강수량 (mm)|20200401||||0.0|||||||||||||||||||||
143|강수량 (mm)|20200402|||||||||||||||||||||||||
143|강수량 (mm)|20200403|||||||||||||||||||||||||
