지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
281|강수량 (mm)|20190101|||||||||||||||||||||||||
281|강수량 (mm)|20190102|||||||||||||||||||||||||
281|강수량 (mm)|20190103|||||||||||||||||||||||||
281|강수량 (mm)|20190104|||||||||||||||||||||||||
281|강수량 (mm)|20190105|||||||||||||||||||||||||
281|강수량 (mm)|20190106|||||||||||||||||||||||||
281|강수량 (mm)|20190107|||||||||||||||||||||||||
281|강수량 (mm)|20190108|||||||||||||||||||||||||
281|강수량 (mm)|20190109|||||||||||||||||||||||||
281|강수량 (mm)|20190110|||||||||||||||||||||||||
281|강수량 (mm)|20190111|||||||||||||||||||||||||
281|강수량 (mm)|20190112|||0.0|||1.5|||4.0|||1.5|||||||||||||
281|강수량 (mm)|20190113|||||||||||||||||||||||||
281|강수량 (mm)|20190114|||||||||||||||||||||||||
281|강수량 (mm)|20190115|||||||||||||||||||||||||
281|강수량 (mm)|20190116|||||||||||||||||||||||||
281|강수량 (mm)|20190117|||||||||||||||||||||||||
281|강수량 (mm)|20190118|||||||||||||||||||||||||
281|강수량 (mm)|20190119|||||||||||||||||||||||||
281|강수량 (mm)|20190120|||0.3|||0.1|||||||||||||||||||
281|강수량 (mm)|20190121|||||||||||||||||||||||||
281|강수량 (mm)|20190122|||||||||||||||||||||||||
281|강수량 (mm)|20190123|||||||||||||||||||||||||
281|강수량 (mm)|20190124|||||||||||||||||||||||||
281|강수량 (mm)|20190125|||||||||||||||||||||||||
281|강수량 (mm)|20190126|||||||||||||||||||||||||
281|강수량 (mm)|20190127|||||||||||||||||||||||||
281|강수량 (mm)|20190128|||||||||||||||||||||||||
281|강수량 (mm)|20190129|||||||||||||||||||||||||
281|강수량 (mm)|20190130|||||||||||||||||||||||||
281|강수량 (mm)|20190131||||||0.1|||0.9|||2.0|||1.5||||||||||
281|강수량 (mm)|20190201|||||||||||||||||||||||||
281|강수량 (mm)|20190202|||||||||||||||||||||||||
281|강수량 (mm)|20190203|||0.1|||0.4|||2.0|||1.0|||0.5|||0.5|||||||
281|강수량 (mm)|20190204|||||||||||||||||||||||||
281|강수량 (mm)|20190205|||||||||||||||||||||||||
281|강수량 (mm)|20190206|||||||||||||||||||||||||
281|강수량 (mm)|20190207|||||||||||||||||||||||||
281|강수량 (mm)|20190208|||||||||||||||||||||||||
281|강수량 (mm)|20190209|||||||||||||||||||||||||
281|강수량 (mm)|20190210|||||||||||||||||||||||||
281|강수량 (mm)|20190211|||||||||||||||||||||||||
281|강수량 (mm)|20190212|||||||||||||||||||||||||
281|강수량 (mm)|20190213|||||||||||||||||||||||||
281|강수량 (mm)|20190214|||||||||||||||0.0||||||||||
281|강수량 (mm)|20190215|||||||||||||||||||||||||
281|강수량 (mm)|20190216||||||||||||0.0|||||||||||||
281|강수량 (mm)|20190217|||||||||||||||||||||||||
281|강수량 (mm)|20190218|||||||||||||||||||||||||
281|강수량 (mm)|20190219|||0.5|||3.5|||8.5|||6.5|||1.5||||||||||
281|강수량 (mm)|20190220|||||||||||||||||||||||||
281|강수량 (mm)|20190221|||||||||||||||||||||||||
281|강수량 (mm)|20190222|||||||||||||||||||||||||
281|강수량 (mm)|20190223|||||||||||||||||||||||||
281|강수량 (mm)|20190224|||||||||||||||||||||||||
281|강수량 (mm)|20190225|||||||||||||||||||||||||
281|강수량 (mm)|20190226|||||||||||||||||||||||||
281|강수량 (mm)|20190227|||||||||||||||||||||0.0|||0.0|
281|강수량 (mm)|20190228|||0.3||||||||||||||||||||||
281|강수량 (mm)|20190301|||||||||||||||||||||||||
281|강수량 (mm)|20190302|||||||||||||||||||||||||
281|강수량 (mm)|20190303|||||||||||||||||||||||||
281|강수량 (mm)|20190304|||||||||||||||||||||||||
281|강수량 (mm)|20190305|||||||||||||||||||||||||
281|강수량 (mm)|20190306||||||0.0||||||0.0||||||||||||0.0|
281|강수량 (mm)|20190307|||0.0||||||||||||||||||||||
281|강수량 (mm)|20190308|||||||||||||||||||||||||
281|강수량 (mm)|20190309|||||||||||||||||||||||||
281|강수량 (mm)|20190310|||||||||0.0|||1.5|||3.0|||1.0|||0.5||||
281|강수량 (mm)|20190311|||||||||||||||||||||||||
281|강수량 (mm)|20190312||||||||||||||||||0.0|||1.0||||
281|강수량 (mm)|20190313|||||||||||||||||||||||||
281|강수량 (mm)|20190314|||||||||||||||||||||||||
281|강수량 (mm)|20190315||||||||||||||||||0.0|||0.2||||
281|강수량 (mm)|20190316|||||||||||||||||||||||||
281|강수량 (mm)|20190317|||||||||||||||||||||||||
281|강수량 (mm)|20190318|||||||||||||||||||||||||
281|강수량 (mm)|20190319|||||||||||||||||||||||||
281|강수량 (mm)|20190320||||||||||||||||||0.0|||2.0|||3.5|
281|강수량 (mm)|20190321|||0.5||||||||||||||||||||||
281|강수량 (mm)|20190322|||||||||||||||||||||||||
281|강수량 (mm)|20190323||||||||||||||||||0.5|||||||
281|강수량 (mm)|20190324|||||||||||||||||||||||||
281|강수량 (mm)|20190325|||||||||||||||||||||||||
281|강수량 (mm)|20190326|||||||||||||||||||||||||
281|강수량 (mm)|20190327|||||||||||||||||||||||||
281|강수량 (mm)|20190328|||||||||||||||||||||||||
281|강수량 (mm)|20190329||||||||||||||||||||||||0.0|
281|강수량 (mm)|20190330|||0.5|||6.0||||||||||||0.0|||||||
281|강수량 (mm)|20190331|||||||||||||||||||||||||
281|강수량 (mm)|20190401|||||||||||||||||||||||||
281|강수량 (mm)|20190402|||||||||||||||||||||||||
